"County","ARIMA","HW","Time_Period"
"Oneida",-0.0116532163995607,7.42575844393803,37
"Oneida",-0.0116531991438467,7.4112779029218,38
"Oneida",-0.0116534371474721,7.34872043882865,39
"Oneida",-0.0116532530781709,7.29577835935088,40
"Oneida",-0.0116532712712052,7.18514397218081,41
"Oneida",-0.0116533544581647,7.01681727731842,42
"Oneida",-0.0116532644660315,6.82925981322527,43
"Oneida",-0.0116532920539401,6.62247157990135,44
"Oneida",-0.0116533222842666,5.9349141158082,45
"Oneida",-0.0116532821890017,4.98774126709967,46
"Oneida",-0.0116533008590493,4.21364534146805,47
"Oneida",-0.0116533082811955,3.47801095429798,48
"Oneida",-0.0116532903220138,2.94429964405098,49
"Oneida",-0.0116533010084465,2.63174217995783,50
"Oneida",-0.0116533019429805,2.42495394663391,51
"Oneida",-0.0116532948996401,2.24701186715614,52
"Oneida",-0.0116533006557735,2.09791594152453,53
"Oneida",-0.0116532999124488,2.98728155435446,54
"Oneida",-0.0116532972333417,1.94395485949208,55
"Oneida",-0.0116532999757847,1.94870508770662,56
"Oneida",-0.0116532991105213,1.98230146976731,57
"Oneida",-0.0116532982259802,2.02551323644339,58
"Oneida",-0.0116532994980193,2.06872500311947,59
"Oneida",-0.0116532989189756,2.11193676979555,60
"Oneida",-0.0116532986898299,2.15514853647163,61
"Onondaga",0.214471516252408,-0.184122342696149,1
"Onondaga",0.214588650646586,-0.0605523776999881,2
"Onondaga",0.107305723805075,0.188017587296169,3
"Onondaga",-0.0116547540082287,2.48466447536925,4
"Onondaga",0.192518924199982,1.8005421326731,5
"Onondaga",0.753369227286629,2.11641978997694,6
"Onondaga",0.858023639231197,2.4322974472808,7
"Onondaga",2.3615707177099,1.74817510458465,8
"Onondaga",4.07563216559907,2.0640527618885,9
"Onondaga",5.0435777115691,5.37993041919235,10
"Onondaga",6.04434525914923,6.6958080764962,11
"Onondaga",9.55290412978347,13.0116857338001,12
"Onondaga",12.8340898524145,14.3275633911039,13
"Onondaga",20.4606287579946,13.6434410484078,14
"Onondaga",18.3848404151122,29.9593187057116,15
"Onondaga",18.0237032938718,29.2751963630155,16
"Onondaga",21.6916685182898,63.5910740203193,17
"Onondaga",20.9846864283269,76.9069516776232,18
"Onondaga",45.5938840114723,87.222829334927,19
"Onondaga",38.5512323153106,119.538706992231,20
"Onondaga",28.7670629209149,108.854584649535,21
"Onondaga",9.85315898050677,103.170462306839,22
"Onondaga",6.77621475752808,80.4863399641424,23
"Onondaga",4.15149734192729,59.8022176214463,24
"Onondaga",4.83179492193114,42.1180952787501,25
"Onondaga",8.57358568830928,13.8570498591309,26
"Onondaga",8.9899587723388,13.4613890548963,27
"Onondaga",8.06040735522933,14.4599590198924,28
"Onondaga",7.61318062000982,19.2085289848886,29
"Onondaga",7.30898645265022,18.3417143345001,30
"Onondaga",4.11996547441252,20.4556689148809,31
"Onondaga",3.06763058004462,22.1946234952617,32
"Onondaga",1.12530458845434,23.3758857679501,33
"Onondaga",1.74845771239163e-06,24.2302249637155,34
"Onondaga",1.74846031614218e-06,24.8153333902502,35
"Onondaga",1.74846763599954e-06,25.1889033552463,36
"Onondaga",1.74847435982015e-06,25.5240117817809,37
"Onondaga",1.74847002486101e-06,25.8495048237002,38
"Onondaga",1.74844845744686e-06,26.2038440194656,39
"Onondaga",1.74841348302159e-06,26.4908755229233,40
"Onondaga",1.74839520705233e-06,26.527907026381,41
"Onondaga",1.74842718898054e-06,26.5072462221463,42
"Onondaga",1.74854201365599e-06,26.2365854179117,43
"Onondaga",1.74867825766515e-06,25.3986169213694,44
"Onondaga",1.74873974424128e-06,24.2914176555964,45
"Onondaga",1.74850124315915e-06,22.7996030052079,46
"Onondaga",1.7480171832552e-06,21.0674037394348,47
"Onondaga",1.74736257393482e-06,19.4890506275079,48
"Onondaga",1.74747500077194e-06,18.1895436694271,49
"Onondaga",1.7484542150096e-06,17.3034982498079,50
"Onondaga",1.75128534691545e-06,16.7924528301887,51
"Onondaga",1.91647342973332e-06,16.4256381798002,52
"Onondaga",1.9746211978664e-06,16.2415158371041,53
"Onondaga",2.00396726202902e-06,16.3650858021002,54
"Onondaga",1.97386579607417e-06,16.6136557670964,55
"Onondaga",1.94952982268591e-06,18.9103026551695,56
"Onondaga",1.93141501423102e-06,18.2261803124733,57
"Onondaga",1.93160062239743e-06,18.5420579697772,58
"Onondaga",1.93707043126707e-06,18.857935627081,59
"Onondaga",1.94381583393917e-06,18.1738132843849,60
"Onondaga",1.94646264690255e-06,18.4896909416887,61
"Ontario",0.261561363135587,-0.0357931522502941,1
"Ontario",0.13081393879949,0.976490618576335,2
"Ontario",0.130761041733817,-0.0112256105970356,3
"Ontario",-0.0171130860722929,1.00105816022959,4
"Ontario",3.88004212098225e-05,0.022957315671607,5
"Ontario",0.000138259001138306,0.0544718557290054,6
"Ontario",0.261292739365545,0.0859863957864038,7
"Ontario",0.0982667460149055,0.117500935843802,8
"Ontario",0.260738420358248,0.149015475901201,9
"Ontario",0.632226568017275,1.1805300159586,10
"Ontario",0.84435239359515,0.212044556015997,11
"Ontario",2.36726841925684,0.243559096073396,12
"Ontario",3.65917877278202,2.27507363613079,13
"Ontario",6.55828116937324,5.30658817618819,14
"Ontario",8.06277315273313,4.33810271624559,15
"Ontario",7.62552063136316,4.36961725630299,16
"Ontario",14.7175628195849,9.40113179636039,17
"Ontario",26.9764649499914,13.4326463364178,18
"Ontario",26.5661595053449,20.4641608764752,19
"Ontario",27.3283272206122,29.4956754165326,20
"Ontario",13.4475404280435,18.52718995659,21
"Ontario",6.7753762445975,19.5587044966474,22
"Ontario",4.01380151638006,10.5902190367048,23
"Ontario",3.17991596071659,7.62173357676218,24
"Ontario",1.58420667746487,3.65324811681957,25
"Ontario",2.60427066203564,-0.930621958507642,26
"Ontario",3.17177967665746,-0.802953572296397,27
"Ontario",3.60124593582734,-0.62720826300823,28
"Ontario",1.86736030943844,-0.105309107566216,29
"Ontario",1.54473908999629,0.887743894029644,30
"Ontario",2.51753748173916,2.04425843408704,31
"Ontario",0.835859391675421,2.90269605106752,32
"Ontario",0.233772034571236,3.28997982189415,33
"Ontario",-7.39654135162304e-08,3.45610974656693,34
"Ontario",-7.39649140130139e-08,3.54531659431664,35
"Ontario",-7.39411167647078e-08,3.5960619036048,36
"Ontario",-7.38972945277586e-08,3.70449952058528,37
"Ontario",-7.38635704769654e-08,3.79370636833498,38
"Ontario",-7.3892485690719e-08,3.80599013916161,39
"Ontario",-7.40166893958084e-08,3.80865852537286,40
"Ontario",-7.4194631397108e-08,3.82094229619949,41
"Ontario",-7.42659964442841e-08,3.80437991317996,42
"Ontario",-7.40368701378478e-08,3.73012522246813,43
"Ontario",-7.34340717381e-08,3.58856283944861,44
"Ontario",-7.28033849198826e-08,3.32200045642908,45
"Ontario",-7.2815405553955e-08,2.88236115033263,46
"Ontario",-7.4271261201667e-08,2.46195261346695,47
"Ontario",-7.68168820158537e-08,2.13769792275512,48
"Ontario",-7.89414027741865e-08,1.89036630896637,49
"Ontario",-7.69777418969358e-08,1.75841931056223,50
"Ontario",-6.99514613786214e-08,1.69378000446578,51
"Ontario",-5.86044394224503e-08,1.63875608298472,52
"Ontario",-5.49601138312301e-08,1.60296293073442,53
"Ontario",-5.52758048715168e-08,2.61524670156105,54
"Ontario",-5.82748650489183e-08,1.62753047238768,55
"Ontario",-6.02933653708152e-08,2.63981424321431,56
"Ontario",-6.09855391696357e-08,1.66171339865632,57
"Ontario",-6.0488544919937e-08,1.69322793871372,58
"Ontario",-5.97999218869019e-08,1.72474247877112,59
"Ontario",-5.93656546718211e-08,1.75625701882852,60
"Ontario",-5.93278152361691e-08,1.78777155888592,61
"Orange",-0.0177542205819043,-0.104498329438591,1
"Orange",-0.109631172544707,0.518991728305112,2
