"","Period","County","Date","Incidents","ARIMA","Error_ARIMA","HW","Error_HW"
"164138","2009-2010","Putnam",2009-10-24,9,0,0,0,0
"165139","2009-2010","Queens",2009-10-24,28,0,0,0,0
"166140","2009-2010","Rensselaer",2009-10-24,36,0,0,0,0
"167141","2009-2010","Richmond",2009-10-24,7,0,0,0,0
"168142","2009-2010","Rockland",2009-10-24,2,0,0,0,0
"169143","2009-2010","Saratoga",2009-10-24,37,0,0,0,0
"170144","2009-2010","Schenectady",2009-10-24,18,0,0,0,0
"171145","2009-2010","Schoharie",2009-10-24,2,0,0,0,0
"172146","2009-2010","Schuyler",2009-10-24,2,0,0,0,0
"173147","2009-2010","Seneca",2009-10-24,2,0,0,0,0
"175148","2009-2010","Steuben",2009-10-24,85,0,0,0,0
"174149","2009-2010","St lawrence",2009-10-24,13,0,0,0,0
"176150","2009-2010","Suffolk",2009-10-24,71,0,0,0,0
"177126","2009-2010","Sullivan",2009-10-24,0,0,0,0,0
"178102","2009-2010","Tioga",2009-10-24,3,0,0,0,0
"17963","2009-2010","Tompkins",2009-10-24,6,0,0,0,0
"18064","2009-2010","Ulster",2009-10-24,34,0,0,0,0
"181105","2009-2010","Warren",2009-10-24,19,0,0,0,0
"18266","2009-2010","Washington",2009-10-24,5,0,0,0,0
"18367","2009-2010","Wayne",2009-10-24,20,0,0,0,0
"18468","2009-2010","Westchester",2009-10-24,22,0,0,0,0
"18569","2009-2010","Wyoming",2009-10-24,9,0,0,0,0
"18670","2009-2010","Yates",2009-10-24,2,0,0,0,0
"187","2009-2010","Albany",2009-10-31,87,0,0,0,0
"18810","2009-2010","Allegany",2009-10-31,82,0,0,0,0
"18911","2009-2010","Bronx",2009-10-31,36,0,0,0,0
"19012","2009-2010","Broome",2009-10-31,190,0,0,0,0
"19113","2009-2010","Cattaraugus",2009-10-31,55,0,0,0,0
"19214","2009-2010","Cayuga",2009-10-31,12,0,0,0,0
"19315","2009-2010","Chautauqua",2009-10-31,91,0,0,0,0
"19416","2009-2010","Chemung",2009-10-31,47,0,0,0,0
"19517","2009-2010","Chenango",2009-10-31,17,0,0,0,0
"19618","2009-2010","Clinton",2009-10-31,22,0,0,0,0
"19719","2009-2010","Columbia",2009-10-31,14,0,0,0,0
"19820","2009-2010","Cortland",2009-10-31,2,0,0,0,0
"19921","2009-2010","Delaware",2009-10-31,27,0,0,0,0
