"","County","ARIMA","HW","Time_Period"
"225","Broome","10.7384330287231","9.78417361785408","41"
"226","Broome","10.7384328545892","9.54517183482536","42"
"227","Broome","10.7384331621097","9.21963159025818","43"
"228","Broome","10.7384336795073","8.67293749953715","44"
"229","Broome","10.7384330505009","7.9531664857392","45"
"230","Broome","10.7384333245716","7.04108777963356","46"
"231","Broome","10.7384364531183","6.05208599660484","47"
"232","Broome","10.7384366536517","5.36116113665305","48"
"233","Broome","10.7384342482213","4.99715935362433","49"
"234","Broome","10.7384426179743","4.75815757059561","50"
"235","Broome","10.738451103294","4.66338655679765","51"
"236","Broome","10.7384357094108","4.56861554299971","52"
"237","Broome","11.4068864540796","4.47384452920176","53"
"238","Broome","11.8865348407505","4.49445813078842","54"
"239","Broome","12.620443538951","4.54391788622124","55"
"240","Broome","13.3624493125374","4.58376225703868","56"
"241","Broome","13.7740639386494","4.6332220124715","57"
"242","Broome","13.973094811701","4.70191253713508","58"
"243","Broome","14.1931496631507","4.78021844641406","59"
"244","Broome","14.3319581113729","5.86813974030842","60"
"245","Broome","14.2364732156118","5.95606103420277","61"
"246","Cattaraugus","0.365298494314048","0.187053845806481","1"
"247","Cattaraugus","0.732397837490495","0.0660891293106016","2"
"248","Cattaraugus","0.866772810704318","-0.362270181939602","3"
"249","Cattaraugus","1.09454552852523","-0.249394453176022","4"
"250","Cattaraugus","1.27382629074356","-0.220402045341443","5"
"251","Cattaraugus","1.41493027345513","-0.197918594390227","6"
"252","Cattaraugus","1.52599378595294","-0.171793362090318","7"
"253","Cattaraugus","1.61340997146269","-0.143100773791447","8"
"254","Cattaraugus","1.83743340306127","0.486191239992888","9"
"255","Cattaraugus","1.82396441807863","0.325013495112294","10"
"256","Cattaraugus","1.93431159023045","0.424500176834435","11"
"257","Cattaraugus","2.27780817373298","0.698672240898452","12"
"258","Cattaraugus","3.71932382525809","2.36032708057916","13"
"259","Cattaraugus","4.07391618205721","0.987722917071994","14"
"260","Cattaraugus","6.92691756395864","7.40631872948951","15"
"261","Cattaraugus","7.66992501840809","4.8383480586773","16"
"262","Cattaraugus","11.2928581282298","9.39353076100594","17"
"263","Cattaraugus","10.5923610775443","3.79733516826584","18"
"264","Cattaraugus","13.3935688345039","13.7923622159509","19"
"265","Cattaraugus","11.1251098875692","13.3172443566391","20"
"266","Cattaraugus","10.5245531481133","15.7572414708277","21"
"267","Cattaraugus","7.55283965323934","12.3299288112892","22"
"268","Cattaraugus","2.95758114519837","4.39848772175777","23"
"269","Cattaraugus","4.18695795963634","9.84562346622268","24"
"270","Cattaraugus","4.0266556550649","7.00516974034202","25"
"271","Cattaraugus","3.41304364697534","4.08888484115595","26"
"272","Cattaraugus","3.50341454506267","2.07658473971377","27"
"273","Cattaraugus","4.37165595949445","3.49151267673327","28"
"274","Cattaraugus","2.54549297140548","-2.52944878391698","29"
"275","Cattaraugus","1.93514115788339","-2.10085251960466","30"
"276","Cattaraugus","2.12646078124525","0.476778489966034","31"
"277","Cattaraugus","2.26005273627221","0.922626460640141","32"
"278","Cattaraugus","2.459059947774","1.79136062048004","33"
"279","Cattaraugus","1.93592690243339","1.03108530764195","34"
"280","Cattaraugus","1.93606310442299","2.0663697708691","35"
"281","Cattaraugus","1.93617030954648","2.55927952358817","36"
"282","Cattaraugus","1.9362546890277","2.79149802710729","37"
"283","Cattaraugus","1.93632109441259","2.90597669971409","38"
"284","Cattaraugus","1.93637335999079","2.97150703177555","39"
"285","Cattaraugus","1.93641451842312","3.01600436779216","40"
"286","Cattaraugus","1.93644692005921","3.04292252970886","41"
"287","Cattaraugus","1.93647237941388","3.05181631409895","42"
"288","Cattaraugus","1.93649239186402","3.04429490918778","43"
"289","Cattaraugus","1.93650821813826","3.01731399405668","44"
"290","Cattaraugus","1.93652076437515","2.93557481719242","45"
"291","Cattaraugus","1.93653052857944","2.75859889592141","46"
"292","Cattaraugus","1.93653809150916","2.50631338001381","47"
"293","Cattaraugus","1.93654412146027","2.2392361407554","48"
"294","Cattaraugus","1.936548938968","1.99888969291488","49"
"295","Cattaraugus","1.93655267396778","1.79740994858627","50"
"296","Cattaraugus","1.9365555321363","1.64001783200835","51"
"297","Cattaraugus","1.93655796454678","1.58108511909844","52"
"298","Cattaraugus","2.00042700844884","1.76813896490492","53"
"299","Cattaraugus","2.0938646147603","1.64717424840904","54"
"300","Cattaraugus","2.07093320135316","1.21881493715884","55"
"301","Cattaraugus","2.10624345513651","1.33169066592242","56"
"302","Cattaraugus","2.13403696985781","1.360683073757","57"
"303","Cattaraugus","2.15591113744406","1.38316652470821","58"
"304","Cattaraugus","2.17312881098889","1.40929175700812","59"
"305","Cattaraugus","2.18668049462886","1.43798434530699","60"
"306","Cattaraugus","2.26520655874445","2.06727635909133","61"
"307","Cayuga","0","-0.181255388080383","1"
"308","Cayuga","0","-0.134674050413685","2"
"309","Cayuga","0","-0.280863109861614","3"
"310","Cayuga","0","-0.24708774764935","4"
"311","Cayuga","0","0.241724875312464","5"
"312","Cayuga","0","0.188774452463799","6"
"313","Cayuga","0","0.0364956683687407","7"
