"","County","Period","Date","Incidents","ARIMA","Error_ARIMA","HW","Error_HW","Latitude","Longitude"
"3677","Chautauqua","2014-2015",2015-01-24,0,0,0,0,0,42.3042159,-79.4075949
"3678","Chautauqua","2014-2015",2015-02-07,0,0,0,0,0,42.3042159,-79.4075949
"3679","Chautauqua","2010-2011",2011-04-02,16,0,0,0,0,42.3042159,-79.4075949
"3680","Chautauqua","2017-2018",2018-03-17,58,0,0,0,0,42.3042159,-79.4075949
"3681","Chautauqua","2013-2014",2014-06-28,0,0,0,0,0,42.3042159,-79.4075949
"3682","Chautauqua","2014-2015",2015-01-31,0,0,0,0,0,42.3042159,-79.4075949
"3683","Chautauqua","2009-2010",2010-10-02,0,0,0,0,0,42.3042159,-79.4075949
"3684","Chautauqua","2012-2013",2012-10-13,0,0,0,0,0,42.3042159,-79.4075949
"3685","Chautauqua","2010-2011",2011-05-14,0,0,0,0,0,42.3042159,-79.4075949
"3686","Chautauqua","2017-2018",2017-11-18,2,0,0,0,0,42.3042159,-79.4075949
"3687","Chautauqua","2016-2017",2016-11-05,2,0,0,0,0,42.3042159,-79.4075949
"3688","Chautauqua","2012-2013",2012-10-06,0,0,0,0,0,42.3042159,-79.4075949
"3689","Chautauqua","2015-2016",2016-06-25,0,0,0,0,0,42.3042159,-79.4075949
"3690","Chautauqua","2013-2014",2013-10-26,0,0,0,0,0,42.3042159,-79.4075949
"3691","Chautauqua","2010-2011",2011-05-21,0,0,0,0,0,42.3042159,-79.4075949
"3692","Chautauqua","2014-2015",2014-11-01,0,0,0,0,0,42.3042159,-79.4075949
"3693","Chautauqua","2012-2013",2012-10-20,0,0,0,0,0,42.3042159,-79.4075949
"3694","Chautauqua","2017-2018",2018-07-21,0,0,0,0,0,42.3042159,-79.4075949
"3695","Chautauqua","2010-2011",2011-01-15,6,0,0,0,0,42.3042159,-79.4075949
"3696","Chautauqua","2016-2017",2016-11-12,0,0,0,0,0,42.3042159,-79.4075949
"3697","Chautauqua","2009-2010",2010-05-22,0,0,0,0,0,42.3042159,-79.4075949
"3698","Chautauqua","2009-2010",2010-05-29,0,0,0,0,0,42.3042159,-79.4075949
"3699","Chautauqua","2015-2016",2016-04-16,6,0,0,0,0,42.3042159,-79.4075949
"3700","Chautauqua","2009-2010",2010-05-15,0,0,0,0,0,42.3042159,-79.4075949
"3701","Chautauqua","2009-2010",2010-06-05,0,0,0,0,0,42.3042159,-79.4075949
"3702","Chautauqua","2009-2010",2010-09-25,0,0,0,0,0,42.3042159,-79.4075949
"3703","Chautauqua","2010-2011",2010-12-18,0,0,0,0,0,42.3042159,-79.4075949
"3704","Chemung","2010-2011",2011-06-18,0,0,0,0,0,42.1552807,-76.7471788
"3705","Chemung","2010-2011",2011-07-30,0,0,0,0,0,42.1552807,-76.7471788
"3706","Chemung","2010-2011",2011-07-09,0,0,0,0,0,42.1552807,-76.7471788
"3707","Chemung","2011-2012",2011-10-22,0,0,0,0,0,42.1552807,-76.7471788
"3708","Chemung","2014-2015",2015-04-04,0,0,0,0,0,42.1552807,-76.7471788
"3709","Chemung","2017-2018",2018-01-20,42,0,0,0,0,42.1552807,-76.7471788
"3710","Chemung","2011-2012",2012-06-23,0,0,0,0,0,42.1552807,-76.7471788
"3711","Chemung","2016-2017",2017-09-23,0,0,0,0,0,42.1552807,-76.7471788
"3712","Chemung","2018-2019",2019-01-05,22,0,-22,2,-20,42.1552807,-76.7471788
"3713","Chemung","2010-2011",2011-06-25,0,0,0,0,0,42.1552807,-76.7471788
"3714","Chemung","2011-2012",2012-07-07,0,0,0,0,0,42.1552807,-76.7471788
"3715","Chemung","2012-2013",2013-05-04,0,0,0,0,0,42.1552807,-76.7471788
"3716","Chemung","2014-2015",2015-09-19,0,0,0,0,0,42.1552807,-76.7471788
"3717","Chemung","2011-2012",2011-12-31,0,0,0,0,0,42.1552807,-76.7471788
"3718","Chemung","2010-2011",2011-07-16,0,0,0,0,0,42.1552807,-76.7471788
"3719","Chemung","2011-2012",2012-06-30,0,0,0,0,0,42.1552807,-76.7471788
"3720","Chemung","2014-2015",2015-05-16,0,0,0,0,0,42.1552807,-76.7471788
"3721","Chemung","2011-2012",2012-08-04,0,0,0,0,0,42.1552807,-76.7471788
"3722","Chemung","2013-2014",2014-04-12,1,0,0,0,0,42.1552807,-76.7471788
"3723","Chemung","2011-2012",2012-06-09,0,0,0,0,0,42.1552807,-76.7471788
"3724","Chemung","2011-2012",2011-12-03,0,0,0,0,0,42.1552807,-76.7471788
"3725","Chemung","2011-2012",2012-07-14,0,0,0,0,0,42.1552807,-76.7471788
"3726","Chemung","2015-2016",2016-02-27,17,0,0,0,0,42.1552807,-76.7471788
"3727","Chemung","2011-2012",2012-09-01,0,0,0,0,0,42.1552807,-76.7471788
"3728","Chemung","2015-2016",2016-03-12,26,0,0,0,0,42.1552807,-76.7471788
"3729","Chemung","2013-2014",2014-04-26,2,0,0,0,0,42.1552807,-76.7471788
"3730","Chemung","2016-2017",2017-09-30,0,0,0,0,0,42.1552807,-76.7471788
"3731","Chemung","2014-2015",2015-04-11,0,0,0,0,0,42.1552807,-76.7471788
"3732","Chemung","2012-2013",2013-03-02,1,0,0,0,0,42.1552807,-76.7471788
"3733","Chemung","2010-2011",2011-07-23,0,0,0,0,0,42.1552807,-76.7471788
"3734","Chemung","2015-2016",2016-03-05,32,0,0,0,0,42.1552807,-76.7471788
"3735","Chemung","2014-2015",2015-09-12,0,0,0,0,0,42.1552807,-76.7471788
"3736","Chemung","2015-2016",2016-02-13,1,0,0,0,0,42.1552807,-76.7471788
"3737","Chemung","2016-2017",2017-01-21,50,0,0,0,0,42.1552807,-76.7471788
"3738","Chemung","2011-2012",2011-10-29,0,0,0,0,0,42.1552807,-76.7471788
